date,LWDOWN,SWDOWN,PSFC,Q2D,T2D,U2D,V2D,RAINRATE,area_sqkm,lat,lon
2015-11-24 05:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-11-24 06:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-11-24 07:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-11-24 08:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-24 09:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-24 10:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-24 11:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-24 12:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-11-24 13:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-11-24 14:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-11-24 15:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-11-24 16:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-11-24 17:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-24 18:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-24 19:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-11-24 20:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-11-24 21:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-11-24 22:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-11-24 23:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-11-25 00:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-25 01:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-11-25 02:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-11-25 03:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-11-25 04:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-11-25 05:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-25 06:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-11-25 07:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-11-25 08:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-11-25 09:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-25 10:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-25 11:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-25 12:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-25 13:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-11-25 14:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-11-25 15:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-11-25 16:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-11-25 17:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-11-25 18:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-25 19:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-25 20:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-11-25 21:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-11-25 22:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-11-25 23:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-11-26 00:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-11-26 01:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-26 02:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-11-26 03:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-11-26 04:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-11-26 05:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-11-26 06:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-26 07:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-11-26 08:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-11-26 09:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-11-26 10:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-26 11:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-26 12:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-26 13:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-26 14:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-11-26 15:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-11-26 16:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-11-26 17:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-11-26 18:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-11-26 19:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-26 20:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-26 21:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-11-26 22:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-11-26 23:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-11-27 00:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-11-27 01:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-11-27 02:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-27 03:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-11-27 04:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-11-27 05:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-11-27 06:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-11-27 07:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-27 08:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-11-27 09:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-11-27 10:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-11-27 11:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-27 12:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-27 13:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-27 14:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-27 15:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-11-27 16:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-11-27 17:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-11-27 18:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-11-27 19:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-11-27 20:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-27 21:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-27 22:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-11-27 23:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-11-28 00:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-11-28 01:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-11-28 02:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-11-28 03:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-28 04:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-11-28 05:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-11-28 06:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-11-28 07:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-11-28 08:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-28 09:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-11-28 10:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-11-28 11:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-11-28 12:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-28 13:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-28 14:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-28 15:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-28 16:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-11-28 17:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-11-28 18:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-11-28 19:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-11-28 20:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-11-28 21:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-28 22:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-28 23:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-11-29 00:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-11-29 01:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-11-29 02:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-11-29 03:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-11-29 04:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-29 05:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-11-29 06:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-11-29 07:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-11-29 08:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-11-29 09:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-29 10:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-11-29 11:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-11-29 12:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-11-29 13:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-29 14:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-29 15:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-29 16:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-29 17:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-11-29 18:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-11-29 19:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-11-29 20:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-11-29 21:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-11-29 22:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-29 23:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-30 00:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-11-30 01:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-11-30 02:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-11-30 03:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-11-30 04:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-11-30 05:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-30 06:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-11-30 07:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-11-30 08:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-11-30 09:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-11-30 10:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-11-30 11:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-11-30 12:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-11-30 13:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-11-30 14:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-30 15:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-11-30 16:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-11-30 17:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-11-30 18:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-11-30 19:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-11-30 20:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-11-30 21:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-11-30 22:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-11-30 23:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-12-01 00:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-12-01 01:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-01 02:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-12-01 03:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-12-01 04:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-01 05:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-12-01 06:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-12-01 07:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-12-01 08:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-12-01 09:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-12-01 10:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
